address,zip_code,price,price_sqft,sqft,beds,baths,url,date_scraped
"3106 Pleasant Trace Cir, Knoxville, TN 37912",37912,143900,105,1360,2,2,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112920620200907185838744154000000/3106-pleasant-trace-cir-knoxville-tn-37912,2020-09-09
"211 Hanna Pt, Knoxville, TN 37923",37923,334900,135,2474,3,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112920420200908183258865447000000/211-hanna-pt-knoxville-tn-37923,2020-09-09
"10207 Dulcimer Ln, Knoxville, TN 37932",37932,366840,133,2753,5,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112920020200909174221926937000000/10207-dulcimer-ln-knoxville-tn-37932,2020-09-09
"5113 Aubrey Ln, Knoxville, TN 37912",37912,189000,133,1416,3,2,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112919720200908192657208433000000/5113-aubrey-ln-knoxville-tn-37912,2020-09-09
"1609 Sundrop Dr, Knoxville, TN 37921",37921,195000,106,1830,3,2,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112918920200909164152237737000000/1609-sundrop-dr-knoxville-tn-37921,2020-09-09
"11731 Pepper Ridge Ln, Knoxville, TN 37932",37932,374900,140,2671,4,4,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112918720200909163133214778000000/11731-pepper-ridge-ln-knoxville-tn-37932,2020-09-09
"11719 Pepper Ridge Ln, Knoxville, TN 37932",37932,369900,140,2635,5,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112918620200630133130623894000000/11719-pepper-ridge-ln-knoxville-tn-37932,2020-09-09
"9838 Foot Path Ln, Knoxville, TN 37922",37922,357782,143,2489,4,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112917220200909150359821191000000/9838-foot-path-ln-knoxville-tn-37922,2020-09-09
"115 Willow Ave Unit 401, Knoxville, TN 37915",37915,519900,366,1419,2,2,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112917120200902175850311358000000/115-willow-ave-unit-401-knoxville-tn-37915,2020-09-09
"11715 Pepper Ridge Ln, Knoxville, TN 37932",37932,355900,151,2347,4,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112916220200909143553182141000000/11715-pepper-ridge-ln-knoxville-tn-37932,2020-09-09
"1408 Lakeshire Dr, Knoxville, TN 37922",37922,225000,140,1604,3,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112916420200909133705618332000000/1408-lakeshire-dr-knoxville-tn-37922,2020-09-09
"1633 Romulus Ln, Knoxville, TN 37931",37931,200000,150,1329,3,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112914520200909125834134166000000/1633-romulus-ln-knoxville-tn-37931,2020-09-09
"1324 Mark Joseph, Knoxville, TN 37931",37931,299000,104,2875,3,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa111033020200306160212891537000000/1324-mark-joseph-knoxville-tn-37931,2020-09-09
"3500 Peachwood Rd, Knoxville, TN 37921",37921,250000,120,2076,4,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112913920200904183807463768000000/3500-peachwood-rd-knoxville-tn-37921,2020-09-09
"9225 Hollander Ln, Knoxville, TN 37931",37931,223750,93,2384,3,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112906520200903170902864588000000/9225-hollander-ln-knoxville-tn-37931,2020-09-09
"312 Port Charles Dr, Knoxville, TN 37934",37934,349000,139,2509,3,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112884120200904195957100685000000/312-port-charles-dr-knoxville-tn-37934,2020-09-09
"5724 Sourwood Ln, Knoxville, TN 37921",37921,164900,78,2100,4,4,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112858320200902133158424391000000/5724-sourwood-ln-knoxville-tn-37921,2020-09-09
"3400 Long Hollow Rd, Knoxville, TN 37938",37938,275000,151,1812,3,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112913320200908230828959261000000/3400-long-hollow-rd-knoxville-tn-37938,2020-09-09
